Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,224.19,228.25,223.77,226.21,226.21,1543700
2021-11-05,227.32,227.96,223.9,225.63,225.63,958300
2021-11-08,223.3,225.46,217.57,220.93,220.93,1891600
2021-11-09,219.29,222.5,218.87,220.18,220.18,869700
2021-11-10,219.83,221.52,218.68,220.77,220.77,740300
2021-11-11,220.99,222.03,220.32,221.28,221.28,1001200
2021-11-12,222.6,225.69,221.82,225.0,225.0,1370300
2021-11-15,227.98,231.73,225.58,227.0,227.0,1794200
2021-11-16,227.0,231.4,227.0,230.33,230.33,1693400
2021-11-17,228.38,228.5,220.36,222.88,222.88,2383400
2021-11-18,224.06,224.06,220.53,222.34,222.34,1779700
2021-11-19,222.83,226.04,222.4,224.55,224.55,1794500
2021-11-22,226.0,229.16,223.56,225.96,225.96,1627300
2021-11-23,226.09,226.73,222.9,225.14,225.14,1163700
2021-11-24,224.12,225.34,222.18,223.43,223.43,956800
2021-11-26,222.64,226.45,222.33,224.42,224.42,998000
2021-11-29,225.0,228.67,223.13,225.07,225.07,1794500
2021-11-30,223.09,225.37,220.82,221.3,221.3,3072900
2021-12-01,221.31,228.45,221.31,222.79,222.79,3450200
2021-12-02,218.14,221.61,211.45,215.81,215.81,3452900
2021-12-03,217.08,223.99,214.81,222.0,222.0,3111400
