Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,89.56,92.36,89.5,90.15,89.95,2633500
2021-11-05,91.0,93.02,90.49,92.5,92.3,2227000
2021-11-08,92.64,93.67,92.02,92.72,92.52,2998000
2021-11-09,95.02,98.32,95.0,97.52,97.31,4485700
2021-11-10,97.1,98.24,94.23,95.02,94.81,3113100
2021-11-11,95.61,97.06,94.92,96.36,96.15,2578000
2021-11-12,96.79,97.94,96.36,97.79,97.58,1458100
2021-11-15,98.0,98.39,97.0,97.3,97.09,2074700
2021-11-16,97.62,99.73,96.88,99.11,98.89,2711400
2021-11-17,99.9,101.89,99.31,101.54,101.32,3325300
2021-11-18,102.15,102.65,101.12,101.84,101.62,2485400
2021-11-19,101.96,104.34,101.94,102.17,101.95,2404500
2021-11-22,102.51,103.13,100.11,100.17,99.95,3032900
2021-11-23,99.76,101.9,98.95,101.75,101.53,2559200
2021-11-24,101.46,102.0,100.5,101.09,100.87,1824600
2021-11-26,99.0,100.47,97.71,98.75,98.53,2375600
2021-11-29,99.75,100.0,97.4,98.76,98.54,2122400
2021-11-30,98.69,100.78,96.81,97.7,97.49,5342500
2021-12-01,97.39,100.53,97.39,97.76,97.55,3887800
2021-12-02,98.92,103.17,98.09,102.78,102.56,3649000
2021-12-03,103.67,104.05,101.23,102.54,102.54,2801300
