Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,266.85,270.03,261.51,262.39,262.39,2807200.0
2022-02-24,256.01,272.5,255.83,271.56,271.56,3720400.0
2022-02-25,270.67,279.5,269.86,279.25,279.25,2376800.0
2022-02-28,279.98,280.16,271.5,274.41,274.41,3239300.0
2022-03-01,274.41,276.84,269.66,272.03,272.03,2000100.0
2022-03-02,271.12,275.88,271.12,274.5,274.5,2031500.0
2022-03-03,276.79,279.3,273.73,276.57,276.57,2420800.0
2022-03-04,275.7,275.92,267.58,272.54,272.54,2474500.0
2022-03-07,270.83,272.46,260.21,263.02,263.02,3277800.0
2022-03-08,259.17,263.44,254.67,257.27,257.27,2785600.0
2022-03-09,263.27,266.57,261.26,264.82,264.82,1900600.0
2022-03-10,263.76,265.48,260.93,263.83,263.83,1419800.0
2022-03-11,265.51,268.28,262.24,262.52,262.52,1976700.0
2022-03-14,264.05,273.25,262.97,266.85,266.85,2884500.0
2022-03-15,268.6,272.02,267.38,270.89,270.89,2700100.0
2022-03-16,272.29,278.46,271.33,277.92,277.92,3086300.0
2022-03-17,277.04,281.44,271.19,281.4,281.4,2576300.0
2022-03-18,282.4,293.87,281.35,292.19,292.19,4336400.0
2022-03-21,287.75,292.83,287.06,289.27,289.27,2619800.0
2022-03-22,289.67,294.78,288.57,293.9,293.9,2869484.0
