Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,153.23,155.82,152.57,154.16,154.16,12790400
2021-11-23,153.84,154.25,150.19,151.03,151.03,17382900
2021-11-24,150.69,151.41,148.8,151.34,151.34,14123700
2021-11-26,146.8,148.85,145.85,148.11,148.11,12027700
2021-11-29,148.81,149.3,144.25,147.81,147.81,21231300
2021-11-30,146.72,147.28,143.11,144.9,144.9,26011100
2021-12-01,146.7,148.37,142.04,142.15,142.15,16469000
2021-12-02,142.84,147.65,142.77,147.2,147.2,18177700
2021-12-03,147.81,148.32,144.32,146.22,146.22,14963200
2021-12-06,147.28,150.74,146.67,150.37,150.37,14333900
2021-12-07,151.84,152.76,149.72,150.81,150.81,14661100
2021-12-08,150.91,153.66,150.56,153.34,153.34,12886300
2021-12-09,152.27,154.29,151.7,152.94,152.94,11862300
2021-12-10,153.58,154.66,151.45,152.71,152.71,10242700
2021-12-13,152.12,152.5,149.29,150.43,150.43,10195800
2021-12-14,149.26,151.62,148.52,149.1,149.1,10872000
2021-12-15,148.76,150.92,147.35,150.4,150.4,12231500
2021-12-16,151.35,152.06,148.58,148.75,148.75,11145600
2021-12-17,148.51,149.84,146.57,148.76,148.76,13785000
2021-12-20,146.98,147.73,145.08,146.47,146.47,11201900
2021-12-21,147.56,151.43,147.39,151.05,151.05,10781400
2021-12-22,150.42,152.19,149.88,151.59,151.59,6285672
