Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,28.34,29.25,28.07,28.21,28.21,8400500.0
2022-02-24,26.25,27.8,25.34,27.73,27.73,16236900.0
2022-02-25,27.65,28.88,26.61,28.24,28.24,9585400.0
2022-02-28,27.49,28.53,27.33,28.05,28.05,8296400.0
2022-03-01,28.09,28.47,27.23,28.11,28.11,7663000.0
2022-03-02,28.12,29.6,28.12,29.24,29.24,7679600.0
2022-03-03,29.27,29.62,27.97,28.68,28.68,6199300.0
2022-03-04,28.52,28.54,26.5,26.89,26.89,12200000.0
2022-03-07,26.61,26.94,25.49,25.55,25.55,10290200.0
2022-03-08,25.69,26.22,25.16,25.27,25.27,9388100.0
2022-03-09,26.0,26.6,25.33,25.37,25.37,5845500.0
2022-03-10,25.18,25.44,24.47,25.08,25.08,9331900.0
2022-03-11,25.36,25.51,23.93,23.99,23.99,11203700.0
2022-03-14,24.0,24.96,23.7,23.88,23.88,10106400.0
2022-03-15,24.12,25.34,23.91,25.02,25.02,7460900.0
2022-03-16,25.46,26.08,25.08,25.64,25.64,6529200.0
2022-03-17,25.34,25.72,25.01,25.71,25.71,4472000.0
2022-03-18,25.54,26.35,25.35,26.26,26.26,6936700.0
2022-03-21,26.16,26.9,25.77,26.15,26.15,4775900.0
2022-03-22,26.37,27.19,26.24,26.87,26.87,5166528.0
