Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,28.21,29.07,27.93,28.11,28.11,4600600.0
2022-02-24,26.21,27.71,25.26,27.67,27.67,6875200.0
2022-02-25,27.66,28.77,26.56,28.15,28.15,3827400.0
2022-02-28,27.46,28.43,27.24,27.97,27.97,5475600.0
2022-03-01,27.97,28.37,27.16,27.95,27.95,5554100.0
2022-03-02,28.19,29.51,28.02,29.13,29.13,4212600.0
2022-03-03,29.09,29.51,27.91,28.58,28.58,4870100.0
2022-03-04,28.27,28.44,26.47,26.81,26.81,5436700.0
2022-03-07,26.62,26.8,25.45,25.48,25.48,10659300.0
2022-03-08,25.54,26.18,25.12,25.23,25.23,6526900.0
2022-03-09,25.8,26.54,25.28,25.31,25.31,4283600.0
2022-03-10,25.18,25.37,24.44,25.06,25.06,4173100.0
2022-03-11,25.31,25.46,23.93,23.97,23.97,5747100.0
2022-03-14,24.21,24.9,23.7,23.94,23.94,4936400.0
2022-03-15,23.91,25.32,23.91,25.04,25.04,6167800.0
2022-03-16,25.42,26.06,25.1,25.64,25.64,4504800.0
2022-03-17,25.45,25.74,25.02,25.71,25.71,3076800.0
2022-03-18,25.5,26.4,25.35,26.33,26.33,5780400.0
2022-03-21,26.21,26.9,25.8,26.19,26.19,3222400.0
2022-03-22,26.34,27.21,26.2,26.96,26.96,4189440.0
