Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,42.62,42.79,36.32,37.08,37.08,11719800
2021-11-05,37.52,38.7,37.31,37.86,37.86,4078700
2021-11-08,37.93,38.29,37.32,37.76,37.76,2672300
2021-11-09,37.65,37.67,36.49,36.86,36.86,2996300
2021-11-10,37.0,37.77,36.32,36.48,36.48,3797400
2021-11-11,36.33,36.65,35.66,36.29,36.29,3293700
2021-11-12,36.39,36.63,36.07,36.54,36.54,1278900
2021-11-15,37.14,37.21,36.0,36.19,36.19,1941100
2021-11-16,36.19,36.46,35.69,35.76,35.76,3022100
2021-11-17,35.69,35.94,35.15,35.46,35.46,1807900
2021-11-18,35.52,35.56,34.22,34.31,34.31,2945800
2021-11-19,34.24,34.34,33.34,33.58,33.58,2884000
2021-11-22,33.73,34.39,33.15,33.58,33.58,4349500
2021-11-23,33.82,34.12,33.08,33.13,33.13,2058300
2021-11-24,33.06,34.06,32.8,33.75,33.75,2365300
2021-11-26,33.01,33.55,32.56,33.34,33.34,1086300
2021-11-29,33.54,33.82,32.82,33.13,33.13,2080800
2021-11-30,32.75,32.85,30.84,31.25,31.25,5402000
2021-12-01,31.9,32.52,30.51,30.55,30.55,5464600
2021-12-02,30.63,31.76,30.62,31.19,31.19,5095900
2021-12-03,31.21,31.28,30.0,31.23,31.23,4329200
