Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,59.0,59.01,56.79,57.17,56.48,9047900
2021-11-05,57.24,58.74,57.24,58.31,57.6,4977600
2021-11-08,58.93,59.68,58.29,58.57,57.86,4894100
2021-11-09,58.54,59.12,58.4,58.79,58.08,4447800
2021-11-10,58.84,59.29,58.49,58.76,58.05,5103900
2021-11-11,59.08,59.98,59.02,59.68,58.95,4140400
2021-11-12,59.79,60.55,59.46,60.06,59.33,3499400
2021-11-15,60.5,60.82,59.78,59.92,59.19,3470400
2021-11-16,59.97,59.99,58.84,58.86,58.14,4004700
2021-11-17,58.68,58.98,58.17,58.34,57.63,3342400
2021-11-18,58.35,58.37,57.67,57.98,57.28,3801500
2021-11-19,57.45,57.52,56.03,57.34,56.64,7424300
2021-11-22,57.56,59.29,57.41,58.79,58.08,5309200
2021-11-23,59.34,59.72,58.83,59.18,58.46,5279400
2021-11-24,58.9,59.37,58.59,58.63,57.92,3307100
2021-11-26,56.64,57.77,55.98,57.6,56.9,4317500
2021-11-29,57.9,58.38,56.38,56.86,56.86,4564300
2021-11-30,56.26,56.49,54.41,54.93,54.93,10398200
2021-12-01,55.49,55.8,52.7,52.76,52.76,9113300
2021-12-02,52.5,53.47,52.07,53.18,53.18,7333300
2021-12-03,53.0,53.82,52.73,53.07,53.07,6969100
