Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,58.36,58.69,58.06,58.48,58.17,1029900
2022-04-19,58.72,60.37,58.5,60.21,59.89,1404200
2022-04-20,60.39,61.92,60.21,61.53,61.2,1444200
2022-04-21,61.99,62.14,60.91,61.01,60.68,1302000
2022-04-22,61.05,61.05,59.81,59.88,59.56,1108800
2022-04-25,59.86,60.07,58.29,59.33,59.01,1627400
2022-04-26,59.21,59.94,58.56,58.66,58.35,1539800
2022-04-27,58.72,60.26,58.54,59.22,58.9,2752600
2022-04-28,59.39,60.49,58.57,59.95,59.63,1759500
2022-04-29,59.4,59.61,54.58,54.75,54.46,4859500
2022-05-02,55.2,55.46,51.89,52.99,52.71,3361600
2022-05-03,53.04,53.75,52.83,53.12,52.84,1878400
2022-05-04,53.07,53.31,51.59,53.01,52.73,2987200
2022-05-05,53.0,53.2,50.53,51.02,50.75,2458000
2022-05-06,50.45,50.71,49.12,49.76,49.49,3411300
2022-05-09,49.13,49.5,47.51,47.71,47.45,2391500
2022-05-10,55.02,56.38,47.12,49.58,49.31,17346600
2022-05-11,50.97,55.16,50.95,53.46,53.17,10372300
2022-05-12,53.2,53.45,50.69,52.25,51.97,5161900
2022-05-13,52.24,53.77,51.73,53.62,53.62,4152900
2022-05-16,53.76,54.15,53.39,53.44,53.44,3500030
