Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,115.28,115.82,113.59,114.24,113.22,1962500
2022-04-19,114.37,114.7,113.77,114.47,113.44,2018100
2022-04-20,115.49,115.87,115.17,115.43,114.4,2152900
2022-04-21,115.15,116.33,114.67,115.28,114.25,1865900
2022-04-22,115.17,115.45,114.14,114.28,113.26,3185600
2022-04-25,114.82,115.03,112.04,113.77,112.75,3743600
2022-04-26,113.81,115.83,113.35,113.5,112.48,3937200
2022-04-27,113.56,114.89,112.21,113.09,112.08,2483900
2022-04-28,113.57,114.7,112.6,113.8,112.78,2734100
2022-04-29,113.42,113.51,109.78,110.16,109.17,5423500
2022-05-02,110.67,111.09,107.47,108.7,107.73,3831700
2022-05-03,109.35,110.4,108.19,108.36,107.39,2428400
2022-05-04,108.2,110.78,107.93,110.51,109.52,2561400
2022-05-05,110.02,110.97,109.08,110.05,109.06,2200100
2022-05-06,109.79,111.97,109.33,111.32,110.32,2723200
2022-05-09,109.64,112.12,108.5,110.8,109.81,3663300
2022-05-10,110.59,112.2,108.04,108.91,107.93,3372200
2022-05-11,109.12,111.66,108.84,109.91,108.93,3082800
2022-05-12,108.79,109.31,107.4,108.85,108.85,3429200
2022-05-13,109.39,109.67,107.71,109.3,109.3,3251300
2022-05-16,109.65,110.88,109.43,110.03,110.03,2407978
