Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,61.55,61.6,59.85,60.03,60.03,9011300
2022-04-12,61.45,63.42,61.44,62.26,62.26,9418900
2022-04-13,63.5,64.29,62.28,63.75,63.75,9955700
2022-04-14,63.26,64.05,62.53,62.56,62.56,8616800
2022-04-18,63.24,64.24,62.65,63.54,63.54,9422300
2022-04-19,63.24,64.43,62.6,63.0,63.0,8156000
2022-04-20,63.73,64.98,63.53,64.61,64.61,7121200
2022-04-21,65.0,65.45,60.86,61.15,61.15,10699200
2022-04-22,60.87,61.68,57.69,58.07,58.07,9734600
2022-04-25,55.99,56.45,53.12,56.18,56.18,13608400
2022-04-26,56.95,58.49,56.14,56.4,56.4,9636500
2022-04-27,56.83,58.88,55.64,58.07,58.07,8168000
2022-04-28,58.29,60.52,56.49,59.89,59.89,7940000
2022-04-29,60.11,60.79,57.82,58.17,58.17,7808700
2022-05-02,57.45,58.63,56.44,58.35,58.35,11320300
2022-05-03,60.9,64.47,59.37,64.28,64.28,22056300
2022-05-04,65.48,67.91,63.96,67.74,67.74,15072000
2022-05-05,68.74,68.87,65.1,67.15,67.15,13010400
2022-05-06,68.61,69.75,66.04,69.69,69.69,14613700
2022-05-09,67.34,67.6,62.5,63.69,63.69,8541771
