Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,32.95,34.6,32.39,33.83,33.83,2744200
2021-11-05,34.51,34.91,34.18,34.33,34.33,1846300
2021-11-08,34.44,34.86,33.35,33.38,33.38,1476000
2021-11-09,33.42,33.91,33.14,33.81,33.81,1623500
2021-11-10,33.56,33.86,33.3,33.58,33.58,1640700
2021-11-11,33.78,34.37,33.75,33.98,33.98,1214400
2021-11-12,33.96,34.17,33.32,33.34,33.34,815900
2021-11-15,33.52,33.55,32.75,33.05,33.05,1238600
2021-11-16,33.03,33.5,32.23,32.28,32.28,1762900
2021-11-17,32.38,32.56,32.02,32.14,32.14,1275400
2021-11-18,32.14,32.38,31.38,32.13,32.13,1766800
2021-11-19,31.67,32.0,31.35,31.37,31.37,1876800
2021-11-22,31.61,31.86,31.11,31.12,31.12,1391100
2021-11-23,31.42,31.86,31.13,31.43,31.43,1393700
2021-11-24,31.07,31.87,31.06,31.63,31.63,1424100
2021-11-26,30.37,31.07,29.88,30.5,30.5,1849900
2021-11-29,31.02,31.4,30.69,31.02,31.02,2856700
2021-11-30,30.63,30.92,29.39,29.99,29.99,3144800
2021-12-01,30.61,31.15,29.49,29.58,29.58,2983900
2021-12-02,29.72,30.78,29.59,30.54,30.54,2386900
2021-12-03,30.7,31.14,29.9,30.19,30.19,2476500
