Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,122.34,123.45,121.15,122.16,122.16,1536600
2022-04-19,120.12,124.31,120.12,124.04,124.04,1547300
2022-04-20,124.1,124.85,123.13,123.31,123.31,1571600
2022-04-21,123.43,125.68,123.43,123.74,123.74,2442400
2022-04-22,124.83,128.55,123.63,128.09,128.09,4237300
2022-04-25,127.73,128.68,125.17,128.15,128.15,2718400
2022-04-26,127.77,128.01,124.34,124.63,124.63,1911600
2022-04-27,124.47,124.6,121.01,121.22,121.22,2553100
2022-04-28,122.82,124.3,121.67,123.41,123.41,1663000
2022-04-29,123.01,124.02,117.74,118.05,118.05,3008100
2022-05-02,118.75,121.57,117.75,120.0,120.0,2932200
2022-05-03,120.05,122.69,120.02,122.51,122.51,2319200
2022-05-04,122.88,123.85,120.35,123.72,123.72,1865200
2022-05-05,123.09,123.59,118.3,119.61,119.61,2135300
2022-05-06,119.16,119.5,114.39,115.29,115.29,2122200
2022-05-09,114.29,114.79,111.7,112.04,112.04,3465600
2022-05-10,113.06,113.63,109.24,111.6,111.6,6505800
2022-05-11,114.6,126.27,114.11,120.49,120.49,7986700
2022-05-12,118.32,122.16,118.32,120.95,120.95,4545000
2022-05-13,121.62,125.28,121.14,124.94,124.94,3682000
2022-05-16,125.0,128.89,124.82,127.39,127.39,2875393
