Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,53.83,54.75,53.67,54.56,54.56,4115300
2022-04-19,54.16,55.22,54.16,55.17,55.17,4698300
2022-04-20,55.32,55.36,54.76,54.86,54.86,4937900
2022-04-21,55.23,55.86,54.55,54.77,54.77,4408600
2022-04-22,54.6,54.83,53.08,53.17,53.17,4914800
2022-04-25,52.93,53.88,52.71,53.63,53.63,5503600
2022-04-26,53.59,53.96,52.48,53.1,53.1,4951700
2022-04-27,52.99,53.89,52.0,52.06,52.06,4905700
2022-04-28,52.47,54.05,52.15,53.77,53.77,6008500
2022-04-29,51.52,53.98,51.52,51.92,51.92,8341100
2022-05-02,51.97,53.22,51.46,53.15,53.15,6139800
2022-05-03,53.28,54.25,53.02,53.46,53.46,8059000
2022-05-04,53.48,54.49,52.32,54.42,54.42,9500200
2022-05-05,51.21,51.82,47.29,48.04,48.04,19285100
2022-05-06,48.0,49.64,47.03,48.81,48.81,11281200
2022-05-09,48.08,50.92,47.67,49.26,49.26,12832100
2022-05-10,49.97,50.89,48.38,48.59,48.59,7614900
2022-05-11,48.31,48.95,46.47,46.58,46.58,7085300
2022-05-12,45.98,47.82,45.19,46.16,46.16,8920400
2022-05-13,46.46,46.76,45.72,46.65,46.65,6455200
2022-05-16,46.49,46.49,44.9,45.09,45.09,6940036
