Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,76.87,77.3,75.52,76.28,75.53,2128100
2021-11-05,77.29,78.79,77.29,78.21,77.44,3651700
2021-11-08,78.0,78.05,76.75,77.05,76.29,2418800
2021-11-09,77.3,78.02,77.22,77.83,77.06,1688300
2021-11-10,78.0,78.64,77.29,77.96,77.19,2345300
2021-11-11,77.68,77.88,76.99,77.58,76.82,1566800
2021-11-12,77.61,77.61,77.02,77.15,76.39,3386200
2021-11-15,77.7,78.81,77.45,78.77,77.99,1880400
2021-11-16,78.08,78.47,77.5,77.52,77.52,1560000
2021-11-17,77.38,77.65,76.85,77.5,77.5,1603500
2021-11-18,77.3,77.77,76.42,77.66,77.66,1739900
2021-11-19,77.74,78.43,77.66,78.03,78.03,1841000
2021-11-22,77.91,79.37,77.6,78.57,78.57,1899300
2021-11-23,78.68,79.59,78.55,79.17,79.17,1552300
2021-11-24,79.35,79.56,78.84,79.22,79.22,1295500
2021-11-26,78.84,79.89,78.62,78.67,78.67,1337400
2021-11-29,79.03,80.5,78.62,80.35,80.35,3064700
2021-11-30,79.65,79.92,77.64,77.64,77.64,5229000
2021-12-01,78.0,79.57,77.5,77.94,77.94,1775200
2021-12-02,78.34,79.38,78.17,78.69,78.69,1830200
2021-12-03,79.05,80.56,78.71,80.53,80.53,2618400
