Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,72.09,72.45,71.43,71.75,71.75,900200
2022-04-19,71.89,72.33,71.7,71.81,71.81,1173100
2022-04-20,72.52,73.07,72.37,72.75,72.75,1179200
2022-04-21,72.56,73.32,72.27,72.71,72.71,1112100
2022-04-22,72.61,72.69,71.54,71.62,71.62,1275400
2022-04-25,71.87,72.0,69.98,71.27,71.27,1663800
2022-04-26,70.89,71.66,70.15,70.23,70.23,1462600
2022-04-27,70.46,71.06,69.82,70.41,70.41,1626300
2022-04-28,70.79,71.4,70.13,70.8,70.8,1427900
2022-04-29,70.61,70.65,68.69,68.79,68.79,2572000
2022-05-02,69.25,69.62,67.26,67.91,67.91,2122100
2022-05-03,68.53,69.71,68.07,68.42,68.42,2083100
2022-05-04,68.26,70.59,68.26,70.36,70.36,1998700
2022-05-05,70.24,70.68,68.22,68.82,68.82,1335000
2022-05-06,68.63,70.47,68.63,70.3,70.3,1588100
2022-05-09,70.06,70.8,69.14,70.06,70.06,2633100
2022-05-10,69.36,70.67,66.82,67.49,67.49,2717300
2022-05-11,67.64,69.39,67.5,68.42,68.42,1696300
2022-05-12,66.05,67.32,64.33,64.86,64.86,4459700
2022-05-13,65.67,65.85,64.77,65.46,65.46,3002700
2022-05-16,65.93,67.02,65.56,66.59,66.59,2520680
