Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,93.07,93.1,90.61,90.91,90.91,2687100.0
2022-02-24,89.39,90.39,87.95,90.0,90.0,4244300.0
2022-02-25,90.07,93.25,90.07,92.82,92.82,2864900.0
2022-02-28,91.77,93.51,91.45,92.92,92.92,3874100.0
2022-03-01,92.88,93.33,89.05,89.51,89.51,3558100.0
2022-03-02,90.12,93.77,90.09,93.23,93.23,3281400.0
2022-03-03,93.98,94.28,92.21,93.22,93.22,2510000.0
2022-03-04,91.64,92.13,90.8,91.58,91.58,3063600.0
2022-03-07,91.73,93.5,90.88,91.64,91.64,3546900.0
2022-03-08,92.19,96.9,92.14,93.7,93.7,4872400.0
2022-03-09,97.37,97.39,94.11,94.39,94.39,4150400.0
2022-03-10,94.12,95.0,93.61,94.74,94.74,3302200.0
2022-03-11,95.39,96.46,92.86,93.0,93.0,3239600.0
2022-03-14,93.56,94.13,91.28,92.32,92.32,3629000.0
2022-03-15,92.86,93.05,91.06,92.65,92.65,3984100.0
2022-03-16,93.11,94.53,91.55,93.76,93.76,4378800.0
2022-03-17,93.47,95.61,93.11,95.49,95.49,3643300.0
2022-03-18,95.35,97.28,93.87,97.0,97.0,16098500.0
2022-03-21,97.84,98.92,97.29,98.2,98.2,3708100.0
2022-03-22,98.65,98.98,97.21,98.02,98.02,2965198.0
