Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,236.69,243.12,232.67,242.6,242.6,2162600
2021-11-05,242.12,244.88,234.26,237.9,237.9,1835500
2021-11-08,241.16,246.54,239.0,241.62,241.62,1242700
2021-11-09,243.55,244.38,232.56,239.39,239.39,1214800
2021-11-10,228.73,237.83,227.6,231.48,231.48,1422200
2021-11-11,235.41,252.05,235.31,250.49,250.49,2661100
2021-11-12,251.5,254.7,248.19,251.62,251.62,1600000
2021-11-15,253.64,253.99,241.61,244.71,244.71,1715600
2021-11-16,245.37,253.6,239.55,251.59,251.59,2242800
2021-11-17,252.01,260.56,250.52,254.86,254.86,1772100
2021-11-18,258.32,259.75,249.02,254.48,254.48,1537400
2021-11-19,255.83,272.0,255.02,267.74,267.74,2720000
2021-11-22,269.16,282.46,260.58,261.12,261.12,3026700
2021-11-23,258.08,265.26,245.74,250.5,250.5,2598300
2021-11-24,251.88,255.92,242.87,255.1,255.1,1541800
2021-11-26,250.39,259.0,243.62,247.42,247.42,1476200
2021-11-29,253.63,257.7,250.05,256.71,256.71,1513400
2021-11-30,252.99,259.4,243.89,250.0,250.0,2793200
2021-12-01,253.39,255.09,234.62,236.86,236.86,2056400
2021-12-02,237.0,244.96,230.18,235.0,235.0,1949100
2021-12-03,242.26,243.39,215.79,217.1,217.1,3208200
