Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,139.68,142.11,139.6,140.66,139.85,1561100
2022-04-19,141.72,146.07,140.8,145.77,144.93,1826700
2022-04-20,147.37,150.56,147.37,149.38,148.52,1834600
2022-04-21,151.69,153.27,149.2,149.95,149.09,2293900
2022-04-22,148.5,148.96,145.89,146.04,145.2,1655100
2022-04-25,145.9,147.09,142.72,147.07,146.22,1905500
2022-04-26,145.18,146.95,143.5,143.78,142.95,2313700
2022-04-27,143.75,146.89,143.47,145.71,144.87,1930300
2022-04-28,146.1,148.08,144.28,147.88,147.03,2473700
2022-04-29,147.75,149.83,144.77,145.02,144.19,2467500
2022-05-02,144.99,147.02,143.42,146.5,145.66,2732700
2022-05-03,144.51,150.96,144.51,146.58,145.74,3004900
2022-05-04,146.8,150.71,143.98,149.93,149.07,2558100
2022-05-05,148.72,150.88,147.1,148.38,147.53,3871000
2022-05-06,147.79,148.46,144.45,147.29,146.44,2101800
2022-05-09,145.34,149.31,145.05,147.96,147.11,3028900
2022-05-10,149.01,149.91,140.53,140.98,140.17,3543000
2022-05-11,141.13,144.3,140.22,140.81,140.0,1852300
2022-05-12,139.47,142.53,138.69,141.75,141.75,2251900
2022-05-13,142.85,143.44,139.65,141.33,141.33,2813100
2022-05-16,140.56,140.74,137.55,138.98,138.98,2551858
