Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,115.33,115.5,105.8,110.47,110.47,4528200
2022-04-19,110.22,118.74,109.23,115.29,115.29,4065100
2022-04-20,114.29,114.29,104.71,107.41,107.41,4829100
2022-04-21,109.99,109.99,100.32,101.79,101.79,4071800
2022-04-22,102.43,103.52,97.46,98.41,98.41,3623000
2022-04-25,96.85,103.2,96.59,102.06,102.06,3976400
2022-04-26,101.04,102.65,97.1,100.11,100.11,4297500
2022-04-27,98.99,102.25,95.77,97.55,97.55,4283800
2022-04-28,100.63,103.37,94.39,101.88,101.88,5491400
2022-04-29,97.0,102.26,92.86,93.19,93.19,7088100
2022-05-02,92.32,97.22,90.62,97.07,97.07,5640000
2022-05-03,96.74,103.47,95.09,100.53,100.53,5615400
2022-05-04,100.0,110.95,96.1,109.33,109.33,8693700
2022-05-05,94.26,95.3,88.88,90.93,90.93,15386200
2022-05-06,89.67,90.88,81.11,86.38,86.38,9280400
2022-05-09,85.08,88.96,82.41,86.4,86.4,8281500
2022-05-10,89.31,92.67,81.57,84.06,84.06,6098500
2022-05-11,83.73,86.49,77.04,77.81,77.81,8269400
2022-05-12,77.36,89.88,75.61,87.86,87.86,10579200
2022-05-13,90.0,94.58,88.54,92.08,92.08,5780000
2022-05-16,91.0,92.4,86.25,86.62,86.62,4382728
