Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,106.46,107.6,105.07,105.33,105.33,2235000.0
2022-02-24,103.26,110.04,102.57,109.64,109.64,3112000.0
2022-02-25,109.58,113.11,108.55,113.03,113.03,2157300.0
2022-02-28,111.07,113.14,110.29,112.37,112.37,3072400.0
2022-03-01,112.35,112.97,110.55,111.61,111.61,2001300.0
2022-03-02,112.51,112.82,110.83,111.38,111.38,2486500.0
2022-03-03,112.31,113.4,110.32,111.98,111.98,2405400.0
2022-03-04,111.36,111.46,108.47,110.64,110.64,2280400.0
2022-03-07,110.33,110.81,107.22,108.35,108.35,1887500.0
2022-03-08,107.6,107.77,101.84,102.0,102.0,3553200.0
2022-03-09,104.91,106.38,103.23,105.91,105.91,3320800.0
2022-03-10,104.09,106.0,104.07,105.7,105.7,2091400.0
2022-03-11,106.81,106.98,103.4,103.45,103.45,2030400.0
2022-03-14,104.21,105.15,100.97,102.25,102.25,2391300.0
2022-03-15,104.71,106.22,103.83,106.15,106.15,2251100.0
2022-03-16,108.42,109.84,106.62,109.79,109.79,2144500.0
2022-03-17,109.12,112.61,109.05,112.54,112.54,1952000.0
2022-03-18,113.01,113.23,111.08,112.77,112.77,3975000.0
2022-03-21,112.0,113.42,110.48,111.55,111.55,1683200.0
2022-03-22,110.25,113.5,109.27,112.95,112.95,3009639.0
