Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,41.72,41.89,40.81,40.97,40.63,8161900.0
2022-02-24,40.84,41.4,40.11,41.3,41.3,11997700.0
2022-02-25,41.34,42.68,41.29,42.6,42.6,7981400.0
2022-02-28,42.15,42.85,41.9,42.56,42.56,13252600.0
2022-03-01,42.0,42.65,41.87,42.23,42.23,8039100.0
2022-03-02,42.34,43.03,42.14,42.76,42.76,7133700.0
2022-03-03,42.8,43.31,42.77,43.13,43.13,7236200.0
2022-03-04,42.88,44.28,42.54,44.28,44.28,9041500.0
2022-03-07,44.17,44.73,43.77,43.83,43.83,10065200.0
2022-03-08,44.16,44.29,43.1,43.49,43.49,8624200.0
2022-03-09,43.74,43.92,43.26,43.55,43.55,8573000.0
2022-03-10,43.31,43.81,43.14,43.6,43.6,9859100.0
2022-03-11,44.24,44.4,43.59,43.63,43.63,6407100.0
2022-03-14,43.7,44.12,43.52,43.58,43.58,6793400.0
2022-03-15,43.89,44.02,43.27,43.76,43.76,6385000.0
2022-03-16,43.64,44.09,42.71,43.44,43.44,8718600.0
2022-03-17,43.47,43.75,43.31,43.45,43.45,7454400.0
2022-03-18,43.31,43.53,42.86,43.25,43.25,13086000.0
2022-03-21,43.29,43.71,43.21,43.66,43.66,8522100.0
2022-03-22,43.81,43.99,43.35,43.63,43.63,5690295.0
