Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,206.85,207.49,198.13,198.63,198.63,3133300.0
2022-02-24,185.96,194.58,181.91,193.74,193.74,7901000.0
2022-02-25,195.23,200.23,192.06,199.93,199.93,3035700.0
2022-02-28,194.5,198.15,188.8,196.11,196.11,3634200.0
2022-03-01,195.01,196.61,185.82,187.85,187.85,3234800.0
2022-03-02,190.39,195.32,190.24,192.23,192.23,3005100.0
2022-03-03,193.63,194.79,183.59,185.25,185.25,3151700.0
2022-03-04,181.89,182.96,172.91,176.23,176.23,4369500.0
2022-03-07,176.51,177.3,156.14,157.01,157.01,6829600.0
2022-03-08,158.59,172.08,151.93,165.69,165.69,7595300.0
2022-03-09,172.68,180.83,172.35,174.68,174.68,4235400.0
2022-03-10,170.0,179.75,168.53,178.91,178.91,3442400.0
2022-03-11,181.01,183.19,178.23,179.31,179.31,2951500.0
2022-03-14,180.5,184.53,178.27,179.11,179.11,3676000.0
2022-03-15,182.0,189.88,181.71,188.5,188.5,3837900.0
2022-03-16,191.02,196.25,185.84,192.89,192.89,4364100.0
2022-03-17,190.1,192.89,187.1,192.0,192.0,1981300.0
2022-03-18,191.51,195.55,188.53,193.18,193.18,3452900.0
2022-03-21,191.21,191.47,186.63,190.18,190.18,2100100.0
2022-03-22,191.83,194.17,188.96,191.7,191.7,2547191.0
