Date,Open,High,Low,Close,Adj Close,Volume
2021-09-14,12.93,13.06,12.79,12.86,12.86,47640800
2021-09-15,12.89,13.25,12.81,13.22,13.22,60282100
2021-09-16,13.18,13.53,13.1,13.4,13.4,76426100
2021-09-17,13.41,13.7,13.39,13.55,13.55,76182400
2021-09-20,13.07,13.19,12.63,12.82,12.82,126152200
2021-09-21,12.89,12.97,12.66,12.77,12.77,60473100
2021-09-22,12.92,13.39,12.91,13.23,13.23,75784000
2021-09-23,13.35,13.74,13.32,13.71,13.71,68708100
2021-09-24,13.66,13.94,13.64,13.78,13.78,57440200
2021-09-27,13.89,14.29,13.88,14.16,14.16,68769700
2021-09-28,14.63,14.73,14.23,14.31,14.31,107090900
2021-09-29,14.46,14.5,14.17,14.3,14.3,56805500
2021-09-30,14.26,14.32,14.09,14.16,14.16,78759800
2021-10-01,14.26,14.37,14.01,14.16,14.16,51880900
2021-10-04,14.27,14.79,14.22,14.35,14.35,78332500
2021-10-05,14.44,14.44,14.11,14.29,14.29,55915800
2021-10-06,14.14,14.34,13.89,14.12,14.12,61020300
2021-10-07,14.34,14.95,14.31,14.89,14.89,96557500
2021-10-08,14.92,15.49,14.85,15.12,15.12,99345500
2021-10-11,15.2,15.36,14.97,15.09,15.09,45302300
2021-10-12,15.11,15.68,15.01,15.64,15.64,89134000
2021-10-13,15.59,15.69,15.27,15.51,15.51,63254900
2021-10-14,15.62,15.61,15.37,15.4,15.4,32729129
