Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,114.46,116.39,110.92,112.76,112.27,2656000
2021-11-05,114.41,115.39,112.56,113.79,113.3,1839300
2021-11-08,115.27,117.71,114.85,115.71,115.21,2161800
2021-11-09,115.0,116.15,110.69,112.99,112.99,2347300
2021-11-10,112.39,112.4,105.67,107.16,107.16,2657600
2021-11-11,107.58,109.95,107.56,108.77,108.77,1649100
2021-11-12,108.23,110.97,107.69,109.95,109.95,1819800
2021-11-15,109.74,111.87,106.76,111.17,111.17,1707800
2021-11-16,112.0,112.75,109.68,110.18,110.18,2032400
2021-11-17,108.34,111.24,106.61,107.24,107.24,2341200
2021-11-18,107.5,110.33,105.86,107.96,107.96,1903100
2021-11-19,104.57,105.79,100.78,102.17,102.17,4786700
2021-11-22,102.3,108.06,102.24,105.47,105.47,2790200
2021-11-23,108.6,111.29,108.01,110.19,110.19,2824600
2021-11-24,108.65,114.93,108.5,114.2,114.2,2163700
2021-11-26,105.3,108.34,102.45,107.48,107.48,3128400
2021-11-29,111.71,115.76,108.37,109.93,109.93,4238700
2021-11-30,106.13,111.29,105.91,106.73,106.73,15960100
2021-12-01,109.53,109.89,102.91,103.0,103.0,4079700
2021-12-02,101.53,107.68,99.52,106.43,106.43,2894300
2021-12-03,108.17,109.19,103.66,106.0,106.0,2495600
