Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,51.15,51.26,49.55,49.62,49.62,3895900.0
2022-02-24,49.06,50.53,48.84,50.46,50.46,3987700.0
2022-02-25,50.43,51.33,50.2,51.28,51.28,3159500.0
2022-02-28,51.0,51.6,50.76,51.46,51.46,4384800.0
2022-03-01,51.47,52.05,51.12,51.56,51.56,5241900.0
2022-03-02,51.89,52.91,51.73,52.57,52.57,4544800.0
2022-03-03,53.05,53.38,52.81,53.15,53.15,3583300.0
2022-03-04,52.99,54.21,52.75,53.97,53.97,4498400.0
2022-03-07,54.02,55.83,53.67,54.1,54.1,5414700.0
2022-03-08,54.23,55.52,54.12,54.16,54.16,4071400.0
2022-03-09,55.05,55.08,53.75,54.76,54.76,3616400.0
2022-03-10,53.98,54.54,53.6,54.47,54.47,2401300.0
2022-03-11,54.85,55.3,53.91,53.97,53.97,2446400.0
2022-03-14,54.68,55.08,54.1,54.49,54.49,3501400.0
2022-03-15,54.74,55.91,54.67,55.79,55.79,3127100.0
2022-03-16,55.86,56.68,54.75,55.97,55.97,3986700.0
2022-03-17,56.05,57.15,55.73,57.14,57.14,3404800.0
2022-03-18,57.06,58.04,56.36,57.87,57.87,6953200.0
2022-03-21,57.87,58.29,57.15,57.76,57.76,3375100.0
2022-03-22,58.0,57.95,57.22,57.75,57.75,2862102.0
