Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,349.05,353.83,340.51,341.01,341.01,27116800
2021-11-23,338.93,341.4,333.5,337.25,337.25,17225000
2021-11-24,336.0,341.78,332.81,341.06,341.06,13566200
2021-11-26,335.8,337.75,331.9,333.12,333.12,14750700
2021-11-29,336.89,340.67,335.31,338.03,338.03,16650900
2021-11-30,335.0,335.81,323.43,324.46,324.46,25390000
2021-12-01,330.29,330.5,310.29,310.6,310.6,30329600
2021-12-02,311.4,314.6,307.2,310.39,310.39,24396200
2021-12-03,313.73,313.75,299.5,306.84,306.84,27448700
2021-12-06,308.13,320.1,306.34,317.87,317.87,21758300
2021-12-07,321.57,326.54,321.0,322.81,322.81,18794000
2021-12-08,325.0,332.75,323.07,330.56,330.56,19937700
2021-12-09,329.54,336.13,328.0,329.82,329.82,16879200
2021-12-10,332.56,335.03,326.37,329.75,329.75,14520900
2021-12-13,330.95,341.09,329.59,334.49,334.49,22948700
2021-12-14,328.05,335.7,327.65,333.74,333.74,20461000
2021-12-15,332.49,342.11,323.98,341.66,341.66,24681300
2021-12-16,338.98,344.46,333.74,334.9,334.9,22635000
2021-12-17,332.8,337.11,330.75,333.79,333.79,39711700
2021-12-20,329.78,329.9,322.53,325.45,325.45,17901800
2021-12-21,326.41,336.0,323.75,334.2,334.2,16116800
2021-12-22,333.8,334.5,328.29,330.34,330.34,13567247
