Date,Open,High,Low,Close,Adj Close,Volume
2021-09-14,35.16,35.37,34.65,34.79,34.79,14925200
2021-09-15,35.14,36.79,35.14,36.74,36.74,18871400
2021-09-16,35.55,35.57,33.73,34.3,34.3,35807800
2021-09-17,34.26,34.58,32.57,33.05,33.05,37559800
2021-09-20,30.76,31.59,30.52,31.17,31.17,38463200
2021-09-21,31.45,31.5,30.02,30.48,30.48,35686600
2021-09-22,31.6,32.26,31.47,31.56,31.56,28813500
2021-09-23,31.97,32.38,31.67,32.11,32.11,20270400
2021-09-24,31.69,32.69,31.69,32.24,32.24,15164300
2021-09-27,32.28,33.95,32.28,33.91,33.91,22469300
2021-09-28,34.02,34.05,32.81,33.57,33.57,19761000
2021-09-29,33.78,34.03,32.91,33.11,33.11,12717000
2021-09-30,32.54,33.76,32.53,32.53,32.53,23041700
2021-10-01,32.9,33.1,31.86,32.84,32.84,16091200
2021-10-04,33.37,33.73,32.43,32.71,32.71,20137600
2021-10-05,32.69,32.76,31.75,32.2,32.2,20005300
2021-10-06,31.83,32.18,30.93,31.71,31.71,22783900
2021-10-07,32.75,34.49,32.62,34.32,34.32,37035100
2021-10-08,34.6,35.01,33.9,34.13,34.13,17618200
2021-10-11,35.3,36.57,35.21,35.23,35.23,27084300
2021-10-12,35.05,35.48,34.44,34.61,34.61,21591600
2021-10-13,35.13,36.34,34.59,35.82,35.82,26442700
2021-10-14,36.99,37.9,36.56,37.33,37.33,19700163
