Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,218.68,220.04,214.75,214.84,214.11,2253300.0
2022-02-24,208.0,216.57,206.31,215.92,215.19,3002400.0
2022-02-25,216.54,222.64,216.16,220.72,219.97,1963900.0
2022-02-28,217.18,222.64,215.71,222.27,221.52,2476400.0
2022-03-01,221.04,221.95,212.64,214.91,214.18,2081800.0
2022-03-02,216.44,222.58,214.3,219.25,218.51,2270600.0
2022-03-03,222.63,224.95,220.2,221.31,220.56,2467700.0
2022-03-04,218.0,219.0,212.3,214.54,214.54,2457300.0
2022-03-07,212.0,213.37,200.64,201.09,201.09,3471100.0
2022-03-08,202.58,209.37,199.03,203.99,203.99,2928200.0
2022-03-09,209.0,218.41,209.0,216.72,216.72,3192400.0
2022-03-10,212.8,219.72,212.35,219.28,219.28,2535300.0
2022-03-11,220.0,220.41,212.73,213.18,213.18,2341700.0
2022-03-14,212.51,214.92,208.81,211.13,211.13,2180700.0
2022-03-15,214.79,217.58,211.93,216.23,216.23,1858400.0
2022-03-16,218.92,226.02,218.75,225.93,225.93,3088000.0
2022-03-17,221.73,229.42,220.39,227.98,227.98,5701400.0
2022-03-18,220.0,220.19,212.93,218.91,218.91,9264900.0
2022-03-21,217.72,223.2,217.47,222.16,222.16,3434400.0
2022-03-22,223.09,228.7,222.49,226.57,226.57,2622249.0
