Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,47.34,47.6,47.14,47.29,46.87,2022000
2022-04-19,47.55,47.61,47.26,47.5,47.08,2815800
2022-04-20,47.98,48.63,47.86,48.46,48.03,3605700
2022-04-21,48.33,48.85,48.09,48.12,47.69,2659700
2022-04-22,47.38,47.5,46.0,46.01,45.6,5208500
2022-04-25,46.19,46.19,44.78,45.44,45.03,3751100
2022-04-26,45.57,45.77,44.97,44.98,44.58,3254200
2022-04-27,45.26,45.42,44.45,44.74,44.34,2863900
2022-04-28,44.83,45.01,44.4,44.74,44.34,3159600
2022-04-29,44.62,44.69,43.21,43.31,42.92,4623500
2022-05-02,43.51,43.86,42.41,42.94,42.56,3137000
2022-05-03,43.19,43.89,42.99,43.14,42.75,4073800
2022-05-04,43.5,43.68,42.55,43.65,43.26,4545700
2022-05-05,43.17,43.45,42.05,42.48,42.48,3315100
2022-05-06,42.13,42.81,42.03,42.68,42.68,3307700
2022-05-09,42.5,42.62,41.77,42.17,42.17,4689200
2022-05-10,42.19,43.13,41.49,42.05,42.05,4817700
2022-05-11,42.08,43.4,42.08,42.36,42.36,3922300
2022-05-12,42.17,42.65,41.56,42.21,42.21,3475900
2022-05-13,42.54,42.66,41.91,42.51,42.51,2609800
2022-05-16,42.11,42.54,41.46,41.75,41.75,3238185
