Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,107.91,119.7,107.45,111.75,111.75,10902800
2021-11-05,113.42,116.08,112.21,113.66,113.66,4244100
2021-11-08,114.01,115.89,113.96,114.74,114.74,4150800
2021-11-09,114.77,117.23,114.11,115.47,115.47,4795700
2021-11-10,115.6,119.27,114.68,118.39,118.39,5980200
2021-11-11,118.05,119.65,116.53,119.41,119.41,4859200
2021-11-12,119.7,120.96,116.83,116.86,116.86,3900100
2021-11-15,117.44,117.56,115.44,115.67,115.67,3443900
2021-11-16,116.65,116.98,114.74,115.11,115.11,3322200
2021-11-17,114.22,114.76,108.3,110.44,110.44,5864400
2021-11-18,111.42,111.63,108.39,109.01,109.01,4388500
2021-11-19,109.38,111.04,108.56,109.94,109.94,3407500
2021-11-22,110.11,111.8,107.33,107.88,107.88,5995100
2021-11-23,108.51,109.04,106.64,108.66,108.66,3464500
2021-11-24,107.99,111.01,107.65,109.86,109.86,4470300
2021-11-26,106.44,108.97,105.59,108.01,108.01,2392900
2021-11-29,109.13,110.01,105.36,105.39,105.39,3114500
2021-11-30,105.16,106.58,102.8,104.5,104.5,7066100
2021-12-01,105.78,106.9,102.28,102.36,102.36,4530200
2021-12-02,103.03,106.31,102.58,105.73,105.73,3192100
2021-12-03,105.51,106.16,101.79,103.3,103.3,4643600
