Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,99.15,100.86,99.03,99.89,99.89,2060500
2022-04-19,99.96,102.79,99.72,102.45,102.45,2685400
2022-04-20,103.0,104.03,101.29,101.49,101.49,3063000
2022-04-21,102.12,102.95,100.97,101.44,101.44,2440300
2022-04-22,101.04,101.04,97.22,97.36,97.36,3029800
2022-04-25,97.05,98.27,95.23,97.95,97.95,3158300
2022-04-26,97.37,97.64,95.97,96.1,96.1,3574900
2022-04-27,98.76,101.88,95.49,100.93,100.93,5784900
2022-04-28,102.04,105.26,101.77,104.74,104.74,4790800
2022-04-29,104.16,104.52,97.78,97.92,97.92,4687200
2022-05-02,97.56,98.03,94.57,97.13,97.13,4296800
2022-05-03,97.94,100.71,97.41,99.44,99.44,4239300
2022-05-04,99.57,102.72,98.5,102.54,102.54,3351800
2022-05-05,101.74,101.82,98.64,99.55,99.55,3763500
2022-05-06,98.7,98.79,94.83,95.71,95.71,3347700
2022-05-09,94.51,95.46,93.3,93.63,93.63,4202400
2022-05-10,95.05,95.62,91.86,92.78,92.78,3250300
2022-05-11,92.58,94.66,91.83,92.58,92.58,3993500
2022-05-12,91.66,93.63,91.33,93.55,93.55,3302300
2022-05-13,94.72,97.15,94.43,96.17,96.17,3136600
2022-05-16,95.64,96.58,94.88,96.25,96.25,3024917
