Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,44.68,44.68,43.49,43.98,43.98,6390800
2021-11-05,44.53,44.64,43.82,44.08,44.08,2600900
2021-11-08,44.29,44.66,43.97,44.26,44.26,2266600
2021-11-09,44.02,44.22,43.68,44.09,44.09,4174100
2021-11-10,44.11,44.58,43.92,44.03,44.03,3359900
2021-11-11,44.16,44.5,43.97,44.3,44.3,3055900
2021-11-12,44.13,44.46,43.69,44.21,44.21,3428500
2021-11-15,44.28,44.94,44.18,44.62,44.62,3048000
2021-11-16,44.69,45.2,44.42,44.83,44.83,3155800
2021-11-17,44.74,44.79,44.03,44.2,44.2,4331400
2021-11-18,44.12,44.49,43.72,44.14,44.14,4077000
2021-11-19,43.61,43.71,42.72,43.55,43.55,3523100
2021-11-22,44.25,44.65,43.8,44.16,44.16,3670900
2021-11-23,44.58,44.93,44.25,44.84,44.84,2807300
2021-11-24,44.91,45.27,44.45,44.6,44.6,3474200
2021-11-26,42.9,43.33,41.5,42.48,42.48,5680900
2021-11-29,43.15,43.39,42.27,42.99,42.99,5629000
2021-11-30,42.44,42.64,41.7,42.15,42.15,9155400
2021-12-01,43.25,43.84,41.73,41.74,41.74,5277400
2021-12-02,42.22,44.33,42.13,43.94,43.94,6366500
2021-12-03,43.94,44.32,42.64,43.05,43.05,5418100
