Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,38.97,39.41,38.83,38.99,38.99,1252900
2022-04-19,39.04,39.41,38.73,39.18,39.18,2630500
2022-04-20,38.95,39.62,37.82,39.56,39.56,4384700
2022-04-21,39.64,40.12,38.91,38.93,38.93,2340600
2022-04-22,38.93,38.96,38.18,38.21,38.21,2215500
2022-04-25,37.94,38.26,37.31,37.99,37.99,2983500
2022-04-26,37.78,37.88,36.55,36.6,36.6,4090700
2022-04-27,36.51,36.82,35.76,36.26,36.26,2262400
2022-04-28,36.48,36.86,36.14,36.54,36.54,2077600
2022-04-29,36.42,36.72,35.76,35.84,35.84,2464900
2022-05-02,35.95,36.67,35.88,36.57,36.57,2704100
2022-05-03,36.67,36.77,36.01,36.24,36.24,3056900
2022-05-04,36.23,37.15,36.08,37.04,37.04,1890600
2022-05-05,36.74,37.08,36.22,36.54,36.54,1867200
2022-05-06,36.28,36.37,34.21,34.6,34.6,3164600
2022-05-09,34.22,34.52,33.13,33.21,33.21,4065000
2022-05-10,32.08,33.37,31.35,32.42,32.42,4567600
2022-05-11,32.53,33.86,32.43,33.21,33.21,3779800
2022-05-12,33.11,33.68,32.45,33.45,33.45,3275800
2022-05-13,33.76,34.28,33.51,33.8,33.8,2672300
2022-05-16,33.75,34.07,33.44,33.69,33.69,2351429
