Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,76.89,78.5,76.89,78.06,77.99,1588100
2021-11-05,78.71,78.99,78.14,78.71,78.64,1686100
2021-11-08,79.14,79.58,78.1,78.11,78.04,1531100
2021-11-09,78.17,78.64,77.81,78.63,78.56,1169000
2021-11-10,78.71,78.88,78.05,78.59,78.52,1001400
2021-11-11,78.53,78.6,77.32,77.62,77.55,927600
2021-11-12,77.98,78.38,77.58,78.25,78.18,860700
2021-11-15,78.48,78.86,77.86,78.03,77.96,1774600
2021-11-16,78.2,79.19,78.17,78.56,78.49,1075000
2021-11-17,78.48,79.18,77.95,79.07,79.0,1579900
2021-11-18,79.15,79.22,78.13,78.77,78.7,1401200
2021-11-19,78.92,79.56,78.6,79.13,79.06,913300
2021-11-22,79.27,79.87,78.5,78.66,78.59,1306800
2021-11-23,78.96,79.05,78.12,78.37,78.3,1362600
2021-11-24,77.87,78.18,77.19,78.03,78.03,1820300
2021-11-26,76.39,77.14,75.44,75.72,75.72,1227200
2021-11-29,76.36,76.68,75.4,76.23,76.23,1676000
2021-11-30,75.71,76.44,73.83,73.87,73.87,4615500
2021-12-01,74.85,75.72,73.5,73.54,73.54,2290600
2021-12-02,73.77,74.6,73.02,74.25,74.25,4072400
2021-12-03,74.43,76.93,73.45,74.53,74.53,2456200
