Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,100.47,101.97,100.28,101.04,100.95,6206600
2021-11-23,101.78,102.21,101.15,102.08,101.99,6011400
2021-11-24,101.86,102.32,101.31,102.23,102.14,5572100
2021-11-26,96.66,98.1,95.51,97.84,97.75,8607600
2021-11-29,99.27,100.43,96.83,98.4,98.31,9776600
2021-11-30,96.64,97.43,94.47,94.99,94.91,11409400
2021-12-01,96.55,96.89,92.94,93.0,92.92,8657100
2021-12-02,94.2,95.78,92.81,95.23,95.15,6094600
2021-12-03,95.13,95.35,91.73,92.77,92.69,8079800
2021-12-06,93.85,96.89,93.24,96.01,95.93,6679900
2021-12-07,96.6,98.33,96.3,97.55,97.46,5049000
2021-12-08,97.55,98.94,96.98,98.28,98.19,4756800
2021-12-09,97.77,98.19,97.0,97.83,97.74,4066700
2021-12-10,98.09,98.56,96.45,96.95,96.87,4274600
2021-12-13,95.97,96.4,92.82,93.13,93.05,7378600
2021-12-14,92.75,94.06,91.72,92.11,92.03,7260800
2021-12-15,92.22,92.41,90.18,92.08,92.0,7694500
2021-12-16,92.52,94.34,92.2,92.53,92.45,7127400
2021-12-17,92.45,93.07,90.11,91.45,91.37,9065000
2021-12-20,90.0,90.1,88.17,89.98,89.98,6013200
2021-12-21,90.72,93.67,90.72,93.06,93.06,7617700
2021-12-22,92.92,93.71,92.19,93.06,93.06,3360058
