Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,62.82,63.06,61.84,61.89,61.89,8094200
2022-04-12,62.38,62.47,61.21,61.63,61.63,7750400
2022-04-13,61.62,62.11,61.29,62.06,62.06,6879600
2022-04-14,62.07,62.36,61.5,61.82,61.82,9749700
2022-04-18,61.7,62.21,61.37,61.58,61.58,5981200
2022-04-19,61.6,63.0,61.58,62.78,62.78,6178900
2022-04-20,63.0,64.16,62.98,63.6,63.6,7638800
2022-04-21,63.55,64.28,63.17,63.75,63.75,6673900
2022-04-22,63.78,63.86,62.17,62.25,62.25,7662000
2022-04-25,62.48,62.74,61.33,62.65,62.65,7457900
2022-04-26,62.4,62.87,61.75,61.77,61.77,6926400
2022-04-27,61.79,62.05,61.17,61.59,61.59,7863200
2022-04-28,61.44,61.64,60.61,61.56,61.56,10787500
2022-04-29,61.56,62.06,59.27,59.34,59.34,10454300
2022-05-02,59.55,60.43,59.15,60.31,60.31,9474000
2022-05-03,60.61,60.83,59.63,60.33,60.33,10384400
2022-05-04,60.65,62.31,60.27,62.08,62.08,8087800
2022-05-05,61.75,62.38,60.72,61.35,61.35,8767300
2022-05-06,61.13,61.4,60.39,61.18,61.18,7468200
2022-05-09,60.8,62.39,60.73,62.1,62.1,3933662
