Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,63.0,63.4,62.39,62.71,62.71,2627400
2021-11-05,62.8,62.92,62.41,62.65,62.65,2048400
2021-11-08,62.66,62.8,62.02,62.64,62.64,1911700
2021-11-09,62.89,63.26,62.53,63.17,63.17,1780800
2021-11-10,63.39,63.95,63.01,63.53,63.53,2447300
2021-11-11,63.26,63.95,62.72,62.9,62.9,2726800
2021-11-12,63.05,63.53,62.64,63.24,63.24,2903900
2021-11-15,63.23,63.83,63.0,63.7,63.7,1751100
2021-11-16,63.78,63.78,63.23,63.26,63.26,2020100
2021-11-17,63.18,63.31,62.9,63.12,63.12,1925400
2021-11-18,62.89,63.3,62.62,62.9,62.9,1844100
2021-11-19,63.21,63.74,62.01,62.04,62.04,2656800
2021-11-22,62.0,63.43,61.88,62.88,62.88,1936600
2021-11-23,62.99,63.69,62.93,63.44,63.44,2026000
2021-11-24,63.51,63.68,62.89,63.3,63.3,1484500
2021-11-26,63.24,64.09,62.61,62.76,62.76,1704100
2021-11-29,62.92,63.55,62.36,63.52,63.52,3536300
2021-11-30,63.23,63.34,61.69,61.77,61.77,9085800
2021-12-01,61.96,62.56,61.41,61.43,61.43,3386500
2021-12-02,61.89,63.11,61.81,62.86,62.86,4692100
2021-12-03,63.19,64.24,63.09,64.23,64.23,4066800
