Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,38.35,38.81,38.27,38.48,38.48,3559600
2021-09-28,38.43,38.56,37.53,37.61,37.61,4535800
2021-09-29,37.65,37.88,36.97,37.13,37.13,4444100
2021-09-30,37.29,37.47,36.48,36.49,36.49,5332500
2021-10-01,36.78,37.21,36.22,36.98,36.98,3663900
2021-10-04,36.82,37.28,36.33,36.56,36.56,2834500
2021-10-05,36.51,37.21,36.36,36.9,36.9,3364400
2021-10-06,36.62,36.83,35.97,36.37,36.37,4537200
2021-10-07,36.77,37.27,36.6,36.94,36.94,2837400
2021-10-08,37.22,37.69,37.04,37.16,37.16,4493800
2021-10-11,37.15,37.61,36.89,36.92,36.92,4984900
2021-10-12,36.91,37.04,36.34,36.42,36.42,2530800
2021-10-13,36.52,36.92,36.23,36.85,36.85,3357900
2021-10-14,37.22,37.89,37.1,37.69,37.69,3694500
2021-10-15,37.9,38.26,37.75,37.95,37.95,2866900
2021-10-18,37.7,38.01,37.43,37.82,37.82,2183000
2021-10-19,38.06,38.19,37.72,37.91,37.91,2649000
2021-10-20,38.01,38.51,37.86,38.33,38.33,2455600
2021-10-21,38.13,38.49,37.99,38.46,38.46,2665100
2021-10-22,38.44,38.65,37.93,38.23,38.23,3274200
2021-10-25,38.4,38.9,38.17,38.61,38.61,6831000
2021-10-26,36.55,36.9,36.03,36.36,36.36,7385008
