Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,56.47,58.77,56.27,58.64,58.64,24026100
2021-11-05,59.15,59.35,58.05,58.52,58.52,16295800
2021-11-08,58.76,60.33,58.48,59.6,59.6,14385500
2021-11-09,59.81,59.93,57.81,58.62,58.62,13822900
2021-11-10,57.85,60.56,57.73,59.27,59.27,22778600
2021-11-11,59.82,62.15,59.31,61.82,61.82,29033900
2021-11-12,61.59,64.03,61.28,63.4,63.4,31142800
2021-11-15,63.66,63.73,62.63,62.97,62.97,14372100
2021-11-16,63.24,63.28,61.93,62.61,62.61,16115000
2021-11-17,63.33,65.07,62.38,64.61,64.61,29983400
2021-11-18,64.33,65.18,62.09,62.33,62.33,23308100
2021-11-19,62.48,62.97,61.56,61.8,61.8,19520600
2021-11-22,61.95,64.96,61.76,64.06,64.06,19836200
2021-11-23,63.73,64.04,62.26,63.05,63.05,16225100
2021-11-24,62.3,62.6,61.63,62.19,62.19,12685000
2021-11-26,59.8,60.57,59.46,60.17,60.17,13272600
2021-11-29,61.11,61.54,59.65,59.86,59.86,15033100
2021-11-30,59.2,59.84,57.44,57.87,57.87,21282200
2021-12-01,59.25,60.59,58.01,58.06,58.06,26353700
2021-12-02,58.75,61.3,58.7,61.02,61.02,25365100
2021-12-03,61.24,61.69,58.87,59.71,59.71,19582800
