Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,135.0,139.15,134.29,135.63,135.63,4599200
2021-11-05,137.93,139.92,135.57,136.75,136.75,3200300
2021-11-08,136.83,137.37,134.1,134.59,134.59,2774100
2021-11-09,135.3,135.64,132.53,132.82,132.82,3255700
2021-11-10,132.76,135.07,131.6,132.48,132.48,3629600
2021-11-11,132.53,133.06,127.91,128.67,128.67,3530300
2021-11-12,129.0,131.91,128.9,131.64,131.64,4278900
2021-11-15,132.95,133.4,131.62,131.79,131.79,2514700
2021-11-16,131.52,132.98,128.89,129.36,129.36,2418400
2021-11-17,129.01,129.01,122.56,125.51,125.51,4765500
2021-11-18,128.18,128.19,125.55,126.85,126.85,4939700
2021-11-19,126.62,129.16,125.82,125.93,125.93,3874100
2021-11-22,126.04,127.43,121.67,123.53,123.53,2971300
2021-11-23,124.0,126.03,123.0,125.05,125.05,2616900
2021-11-24,124.8,126.89,124.11,124.56,124.56,3053600
2021-11-26,121.1,124.05,120.23,123.16,123.16,2308900
2021-11-29,124.77,125.29,120.25,120.26,120.26,3087500
2021-11-30,120.0,120.8,116.75,119.04,119.04,5403200
2021-12-01,120.98,121.4,117.15,117.86,117.86,3399600
2021-12-02,117.92,122.41,117.76,121.81,121.81,4636500
2021-12-03,122.2,122.51,118.08,120.27,120.27,3486800
