Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,24.07,24.86,24.04,24.58,24.46,7362700
2021-09-28,24.42,24.97,24.25,24.6,24.48,9486300
2021-09-29,25.49,26.12,24.64,24.68,24.56,12058200
2021-09-30,24.21,24.21,22.69,22.7,22.59,16589500
2021-10-01,22.7,23.88,22.57,23.57,23.45,11124700
2021-10-04,23.47,24.18,23.47,23.89,23.77,9580800
2021-10-05,23.9,24.27,23.62,23.74,23.74,11614300
2021-10-06,23.38,23.58,22.87,23.22,23.22,8846700
2021-10-07,23.55,23.97,23.53,23.63,23.63,8190500
2021-10-08,23.85,23.85,23.15,23.2,23.2,5772900
2021-10-11,23.2,23.41,22.05,22.08,22.08,10308300
2021-10-12,22.21,22.74,22.11,22.69,22.69,8177300
2021-10-13,22.77,22.85,22.43,22.54,22.54,4672000
2021-10-14,22.59,22.93,22.54,22.74,22.74,6145100
2021-10-15,23.0,23.28,22.04,22.14,22.14,9032600
2021-10-18,22.05,23.24,21.83,23.15,23.15,9055800
2021-10-19,23.11,23.23,22.74,23.05,23.05,5911100
2021-10-20,22.86,23.42,22.66,23.01,23.01,6895700
2021-10-21,23.05,23.46,22.87,22.93,22.93,5385000
2021-10-22,22.63,22.85,22.28,22.52,22.52,5679300
2021-10-25,22.52,22.86,22.38,22.51,22.51,7038000
2021-10-26,22.73,23.02,22.55,22.57,22.57,3327300
