Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,347.57,349.26,339.82,341.19,339.19,2217300.0
2022-02-24,328.57,341.0,326.95,340.19,338.2,4564000.0
2022-02-25,340.19,350.7,340.19,350.12,348.07,2980500.0
2022-02-28,340.25,343.84,337.55,341.29,339.29,4243000.0
2022-03-01,337.4,338.16,327.02,328.2,328.2,5631500.0
2022-03-02,331.6,338.0,327.4,336.38,336.38,3469900.0
2022-03-03,338.87,341.5,330.13,333.42,333.42,2393700.0
2022-03-04,327.0,330.66,324.0,329.67,329.67,3293100.0
2022-03-07,326.82,327.79,320.85,321.89,321.89,3689900.0
2022-03-08,322.5,330.56,318.55,321.37,321.37,3596400.0
2022-03-09,331.68,337.47,330.03,333.59,333.59,3202100.0
2022-03-10,327.63,331.84,324.76,329.9,329.9,2232600.0
2022-03-11,334.37,336.61,326.71,327.0,327.0,2612100.0
2022-03-14,329.21,331.62,322.9,324.98,324.98,2342200.0
2022-03-15,327.07,331.9,324.84,329.16,329.16,2140700.0
2022-03-16,335.07,341.33,334.26,340.76,340.76,3468500.0
2022-03-17,337.37,343.6,334.9,343.27,343.27,2403500.0
2022-03-18,338.87,346.77,337.3,345.38,345.38,5861100.0
2022-03-21,345.26,346.3,337.15,339.0,339.0,3401200.0
2022-03-22,342.2,346.24,340.12,343.01,343.01,2810310.0
