Date,Open,High,Low,Close,Adj Close,Volume
2021-09-14,20.7,20.74,19.98,20.07,20.07,6438900
2021-09-15,20.37,21.06,20.27,20.8,20.8,9577400
2021-09-16,20.68,20.76,20.3,20.59,20.59,5919400
2021-09-17,20.49,20.85,20.18,20.27,20.27,12225900
2021-09-20,19.56,19.92,19.12,19.6,19.6,7875800
2021-09-21,19.9,20.05,19.29,19.48,19.48,6127000
2021-09-22,19.85,20.25,19.73,19.75,19.75,8456500
2021-09-23,19.91,20.96,19.76,20.81,20.81,7937100
2021-09-24,20.69,21.19,20.67,21.0,21.0,6122100
2021-09-27,21.57,22.31,21.52,22.14,22.14,10981700
2021-09-28,22.62,23.21,22.3,22.39,22.39,10461200
2021-09-29,22.38,22.4,21.83,22.16,22.16,7058100
2021-09-30,22.08,22.13,21.45,21.62,21.62,9729800
2021-10-01,21.84,22.37,21.61,22.28,22.28,7394900
2021-10-04,22.87,23.43,22.78,23.02,23.02,14845100
2021-10-05,23.48,23.79,23.09,23.41,23.41,11167200
2021-10-06,22.94,23.22,22.43,22.99,22.99,12047100
2021-10-07,23.05,23.58,22.95,23.38,23.38,9325200
2021-10-08,23.68,24.12,23.55,23.94,23.94,7997600
2021-10-11,24.48,25.5,24.31,24.68,24.68,14863900
2021-10-12,24.57,25.3,24.27,24.49,24.49,15736100
2021-10-13,24.24,24.68,23.81,24.49,24.49,9252700
2021-10-14,24.84,24.94,24.56,24.72,24.72,4064946
