Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,13.29,13.57,13.27,13.52,13.52,9989000
2022-04-19,13.7,14.08,13.57,14.07,14.07,16990200
2022-04-20,14.19,14.5,14.14,14.24,14.24,19033900
2022-04-21,14.5,14.91,14.06,14.1,14.1,24290000
2022-04-22,14.35,14.35,13.74,13.76,13.76,17257000
2022-04-25,13.84,13.93,13.49,13.9,13.9,18895900
2022-04-26,13.71,14.05,13.57,13.57,13.57,14514300
2022-04-27,13.58,13.66,13.39,13.5,13.5,14194600
2022-04-28,13.64,13.7,13.38,13.58,13.58,13683000
2022-04-29,13.58,13.71,13.12,13.15,13.15,19427000
2022-05-02,13.22,13.37,12.98,13.26,13.26,20107900
2022-05-03,13.39,13.61,13.25,13.49,13.49,14721900
2022-05-04,13.51,13.91,13.4,13.9,13.9,13541100
2022-05-05,13.8,13.81,13.36,13.61,13.61,12934000
2022-05-06,13.59,13.62,13.2,13.35,13.35,11571900
2022-05-09,13.21,13.33,13.03,13.16,13.16,10334000
2022-05-10,13.25,13.39,12.71,13.1,13.1,17119600
2022-05-11,13.12,13.36,12.77,12.78,12.78,12081500
2022-05-12,12.71,12.95,12.56,12.88,12.88,15671400
2022-05-13,13.01,13.17,12.91,13.05,13.05,11635400
2022-05-16,13.02,13.15,12.8,12.91,12.91,9985890
