Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,18.2,18.35,17.51,17.8,17.65,7342800
2021-11-05,17.99,18.6,17.95,17.99,17.84,5098900
2021-11-08,18.02,18.02,17.71,17.81,17.81,3388500
2021-11-09,17.78,18.17,17.78,18.07,18.07,2457300
2021-11-10,17.97,18.27,17.81,17.99,17.99,2503300
2021-11-11,18.11,18.13,17.79,17.85,17.85,1891000
2021-11-12,17.89,17.95,17.34,17.62,17.62,4643700
2021-11-15,17.78,18.0,17.73,17.75,17.75,3204900
2021-11-16,17.84,17.96,17.71,17.76,17.76,2422700
2021-11-17,17.64,17.72,17.31,17.48,17.48,4233500
2021-11-18,17.79,17.87,17.14,17.33,17.33,3930700
2021-11-19,17.2,17.37,17.05,17.07,17.07,2993300
2021-11-22,17.16,17.34,17.01,17.16,17.16,3116900
2021-11-23,17.11,17.2,16.9,17.0,17.0,3336600
2021-11-24,16.71,17.2,16.68,17.14,17.14,2942900
2021-11-26,16.62,17.07,16.24,16.82,16.82,2790500
2021-11-29,17.08,17.16,16.4,16.41,16.41,3435600
2021-11-30,16.23,16.4,15.82,16.15,16.15,4735400
2021-12-01,16.51,16.86,16.09,16.1,16.1,4460400
2021-12-02,16.2,16.6,16.07,16.44,16.44,3886700
2021-12-03,16.55,16.62,16.3,16.48,16.48,4377400
