Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,319.32,320.4,307.1,308.45,306.6,11026000.0
2022-02-24,300.0,313.44,299.29,313.24,311.36,8416700.0
2022-02-25,313.18,317.44,307.57,316.65,314.75,6510600.0
2022-02-28,312.97,316.08,310.48,315.83,313.94,5733100.0
2022-03-01,314.59,322.43,313.76,320.25,318.33,5640900.0
2022-03-02,321.06,331.19,319.68,327.37,325.41,5645600.0
2022-03-03,329.19,330.68,322.83,324.36,322.41,3858400.0
2022-03-04,322.21,326.66,319.51,324.26,322.31,3630900.0
2022-03-07,324.26,329.6,320.11,322.77,320.83,4670000.0
2022-03-08,319.75,328.49,315.95,316.74,314.84,5092500.0
2022-03-09,320.0,322.46,316.92,317.2,317.2,4443600.0
2022-03-10,314.36,318.26,308.75,317.94,317.94,3895200.0
2022-03-11,319.28,321.79,316.23,316.79,316.79,2972700.0
2022-03-14,322.91,324.0,316.21,318.36,318.36,3604200.0
2022-03-15,320.35,330.18,320.33,328.54,328.54,3775300.0
2022-03-16,331.58,333.95,324.23,330.91,330.91,3942400.0
2022-03-17,329.14,336.36,327.84,336.36,336.36,3123200.0
2022-03-18,333.63,340.74,332.31,340.74,340.74,9408000.0
2022-03-21,338.04,340.69,327.08,329.37,329.37,4521200.0
2022-03-22,329.32,331.3,324.01,329.73,329.73,4836755.0
