Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,94.83,96.14,93.13,93.94,93.58,2293200.0
2022-02-24,96.82,97.0,92.17,95.26,94.9,5321900.0
2022-02-25,95.45,97.6,94.4,97.52,97.15,2287300.0
2022-02-28,97.36,101.65,96.56,101.06,100.67,4174400.0
2022-03-01,101.89,102.99,99.91,101.4,101.01,4237000.0
2022-03-02,101.01,102.36,97.79,101.78,101.39,4122600.0
2022-03-03,100.64,102.41,99.87,100.96,100.57,2192100.0
2022-03-04,100.73,101.57,98.6,101.17,100.78,3453100.0
2022-03-07,99.5,101.73,94.64,97.12,96.75,5209700.0
2022-03-08,100.0,101.58,93.57,96.62,96.25,4115200.0
2022-03-09,95.05,97.44,93.45,96.7,96.33,3744100.0
2022-03-10,97.83,98.92,96.1,98.12,97.75,2776300.0
2022-03-11,96.66,97.66,94.51,94.61,94.61,2668300.0
2022-03-14,93.55,95.09,91.03,94.21,94.21,2939900.0
2022-03-15,90.22,93.71,89.8,93.08,93.08,2659800.0
2022-03-16,93.16,96.19,93.0,94.75,94.75,2850900.0
2022-03-17,96.6,97.88,95.42,97.14,97.14,3256600.0
2022-03-18,97.83,98.34,96.18,97.41,97.41,4203100.0
2022-03-21,99.75,103.94,99.39,103.85,103.85,3204500.0
2022-03-22,102.37,103.4,99.62,101.59,101.59,2382148.0
