Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,145.99,148.09,145.84,147.44,147.44,1284900
2021-11-05,152.19,153.84,148.69,151.84,151.84,3035100
2021-11-08,152.26,154.4,150.48,151.17,151.17,1893700
2021-11-09,150.87,151.98,146.63,148.46,148.46,1354600
2021-11-10,147.43,149.19,145.23,146.53,146.53,1255900
2021-11-11,145.81,147.15,143.4,143.58,143.58,1634100
2021-11-12,143.7,145.46,142.8,143.47,143.47,1872500
2021-11-15,144.25,144.41,142.42,142.91,142.91,955600
2021-11-16,142.87,144.29,140.32,141.74,141.74,2396700
2021-11-17,140.81,144.73,139.85,144.53,144.53,2306000
2021-11-18,145.09,145.89,142.51,143.59,143.59,1313400
2021-11-19,140.73,145.14,137.09,144.37,144.37,3014500
2021-11-22,145.55,145.68,141.86,143.87,143.87,2180600
2021-11-23,145.55,146.83,144.59,145.73,145.73,1405600
2021-11-24,143.98,146.37,142.95,145.29,145.29,1066900
2021-11-26,135.8,136.6,132.12,136.21,136.21,3513600
2021-11-29,138.47,140.4,137.9,138.07,138.07,2558000
2021-11-30,135.99,137.43,133.79,135.07,135.07,2992400
2021-12-01,137.56,138.6,129.88,129.96,129.96,3570800
2021-12-02,131.66,140.57,130.97,139.59,139.59,3150700
2021-12-03,139.58,140.4,135.54,138.74,138.74,2732500
