Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,222.67,224.84,222.08,222.49,221.53,2320000
2021-11-05,224.24,227.61,223.82,226.06,225.09,2329200
2021-11-08,227.81,228.24,224.38,225.73,224.76,1715400
2021-11-09,225.7,228.26,225.35,227.75,226.77,2369000
2021-11-10,227.27,227.91,225.18,225.41,225.41,1324800
2021-11-11,225.5,225.5,220.6,221.01,221.01,1595800
2021-11-12,221.94,222.54,219.5,222.39,222.39,2184600
2021-11-15,222.63,224.04,221.64,222.47,222.47,1207900
2021-11-16,222.62,223.28,221.06,221.37,221.37,1648500
2021-11-17,220.99,221.29,219.6,220.49,220.49,1896600
2021-11-18,219.5,220.95,219.02,220.7,220.7,1688300
2021-11-19,221.01,221.2,217.17,218.49,218.49,2096100
2021-11-22,218.33,221.05,218.03,218.14,218.14,2451600
2021-11-23,217.36,218.46,215.15,216.0,216.0,4021400
2021-11-24,215.14,215.91,211.84,212.21,212.21,3266000
2021-11-26,204.95,209.0,202.57,208.21,208.21,3857800
2021-11-29,210.21,210.21,207.0,207.66,207.66,2598100
2021-11-30,206.23,206.47,201.11,202.24,202.24,5680300
2021-12-01,205.65,205.88,199.18,199.42,199.42,3123100
2021-12-02,200.96,205.45,199.5,204.0,204.0,6004900
2021-12-03,204.01,204.48,201.0,203.5,203.5,3545300
