Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,17.07,17.11,16.54,16.62,16.5,7846200.0
2022-02-24,16.14,16.29,15.75,16.25,16.13,11558400.0
2022-02-25,16.02,16.16,15.46,16.02,15.9,18758600.0
2022-02-28,15.75,15.98,15.58,15.92,15.8,18104500.0
2022-03-01,15.94,16.05,15.27,15.41,15.3,14194400.0
2022-03-02,16.22,17.18,16.15,16.99,16.87,20561000.0
2022-03-03,17.01,17.02,16.59,16.75,16.63,16233100.0
2022-03-04,16.35,16.45,16.1,16.42,16.3,10468300.0
2022-03-07,16.4,16.43,15.73,15.77,15.65,9691700.0
2022-03-08,16.09,16.58,16.07,16.09,15.97,12353300.0
2022-03-09,16.44,16.58,16.3,16.37,16.25,12569700.0
2022-03-10,16.07,16.38,15.98,16.36,16.36,10586400.0
2022-03-11,16.5,16.69,16.39,16.55,16.55,11136900.0
2022-03-14,16.63,16.8,16.17,16.32,16.32,10739100.0
2022-03-15,16.32,16.66,16.2,16.53,16.53,14246300.0
2022-03-16,16.67,16.85,16.48,16.76,16.76,11061500.0
2022-03-17,16.5,16.8,16.27,16.72,16.72,10839600.0
2022-03-18,16.6,17.1,16.44,17.04,17.04,25124800.0
2022-03-21,17.12,17.33,16.85,17.05,17.05,9128400.0
2022-03-22,17.2,17.3,16.99,17.13,17.13,12029659.0
