Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,31.29,31.65,31.11,31.33,31.33,5267000
2021-11-05,31.59,32.04,31.5,31.95,31.95,8500900
2021-11-08,31.9,32.28,31.52,31.6,31.6,7662000
2021-11-09,31.58,32.11,31.53,31.77,31.77,4536900
2021-11-10,31.69,32.14,31.39,31.52,31.52,6744800
2021-11-11,31.6,32.07,31.54,31.69,31.69,4589900
2021-11-12,31.67,31.93,31.42,31.82,31.82,6016700
2021-11-15,31.92,32.03,31.23,31.35,31.35,7091100
2021-11-16,31.38,31.68,31.21,31.21,31.21,5973300
2021-11-17,31.21,31.32,30.85,30.93,30.93,6997200
2021-11-18,31.1,31.47,30.64,31.41,31.41,6979300
2021-11-19,31.46,31.79,31.22,31.45,31.45,7931600
2021-11-22,31.6,32.57,31.42,31.93,31.93,10940100
2021-11-23,32.05,32.53,31.84,32.19,32.19,13042700
2021-11-24,34.0,36.21,34.0,35.44,35.44,34001100
2021-11-26,34.65,35.24,34.4,34.58,34.58,9289800
2021-11-29,34.77,36.09,34.66,35.93,35.93,16670700
2021-11-30,35.57,35.96,34.93,35.28,35.28,20479200
2021-12-01,35.99,38.38,35.67,36.46,36.46,24511000
2021-12-02,36.45,38.27,36.31,37.64,37.64,18331200
2021-12-03,37.86,38.49,37.14,37.55,37.55,16217400
