Date,Open,High,Low,Close,Adj Close,Volume
2021-09-14,16.76,16.78,16.51,16.63,16.63,4854000
2021-09-15,16.68,16.68,16.31,16.54,16.54,5088100
2021-09-16,16.51,16.66,16.37,16.41,16.41,6349100
2021-09-17,16.56,16.59,16.21,16.26,16.26,12046800
2021-09-20,15.98,16.28,15.75,16.17,16.17,6810000
2021-09-21,16.26,16.47,16.17,16.21,16.21,6200100
2021-09-22,16.4,16.76,16.34,16.52,16.52,9231400
2021-09-23,16.71,17.07,16.65,16.92,16.92,5771200
2021-09-24,16.92,17.14,16.8,16.96,16.96,6807200
2021-09-27,17.15,17.51,16.94,17.0,17.0,11291100
2021-09-28,16.91,17.28,16.8,16.92,16.92,6873900
2021-09-29,16.95,17.03,16.64,16.66,16.66,6725500
2021-09-30,16.68,16.78,16.29,16.33,16.33,7586100
2021-10-01,16.5,17.02,16.47,16.77,16.77,12255400
2021-10-04,16.84,17.05,16.62,16.64,16.64,7726400
2021-10-05,16.54,16.75,16.4,16.59,16.59,7103000
2021-10-06,16.3,16.43,15.76,16.37,16.37,9408600
2021-10-07,16.51,16.72,16.36,16.47,16.47,6455300
2021-10-08,16.44,16.66,16.4,16.46,16.46,7347300
2021-10-11,16.51,16.64,16.38,16.52,16.52,4847900
2021-10-12,16.47,16.68,16.44,16.56,16.56,4844100
2021-10-13,16.53,16.53,15.99,16.23,16.23,7320700
2021-10-14,16.45,16.6,16.3,16.47,16.47,2559757
