Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,31.81,33.19,31.76,33.0,33.0,4630800
2021-09-28,33.21,33.62,32.24,32.41,32.41,3728200
2021-09-29,32.59,32.75,31.87,31.91,31.91,2547500
2021-09-30,32.0,32.06,31.18,31.2,31.2,2626100
2021-10-01,31.43,32.66,31.33,32.43,32.43,5084500
2021-10-04,32.38,32.6,31.82,31.88,31.88,4333100
2021-10-05,31.96,32.37,31.55,32.11,32.11,1990100
2021-10-06,31.75,32.07,30.82,31.96,31.96,2058900
2021-10-07,32.19,32.72,32.09,32.14,32.14,1578800
2021-10-08,32.22,32.34,31.6,31.64,31.64,1120800
2021-10-11,31.55,32.13,31.33,31.42,31.42,2315500
2021-10-12,31.4,31.84,31.36,31.41,31.41,1115000
2021-10-13,31.39,31.61,30.73,31.35,31.35,1602800
2021-10-14,31.69,31.69,30.86,30.89,30.89,3263200
2021-10-15,31.6,31.86,31.27,31.33,31.33,2913000
2021-10-18,31.05,31.43,30.85,30.9,30.9,2339100
2021-10-19,31.0,31.21,30.56,30.88,30.88,1576100
2021-10-20,30.63,31.31,30.45,30.94,30.94,2045800
2021-10-21,30.8,30.93,30.38,30.72,30.72,1081700
2021-10-22,30.76,31.0,30.28,30.46,30.46,2546500
2021-10-25,30.44,30.52,29.82,30.37,30.37,2901900
2021-10-26,30.24,30.7,30.02,30.14,30.14,3241931
