Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,116.0,118.81,115.19,116.47,116.47,6416200
2021-11-23,116.79,117.94,116.04,116.79,116.79,4912800
2021-11-24,116.16,117.27,116.08,116.73,116.73,3220800
2021-11-26,115.0,116.34,114.56,115.81,115.81,3322000
2021-11-29,118.62,119.61,117.53,118.5,118.5,8949800
2021-11-30,117.5,119.24,116.45,117.1,117.1,9252700
2021-12-01,118.25,118.93,116.85,116.92,116.92,5958300
2021-12-02,117.37,117.98,116.56,116.9,116.9,5267100
2021-12-03,117.36,119.36,117.36,118.84,118.84,6629200
2021-12-06,119.4,121.15,119.4,119.91,119.91,4785600
2021-12-07,120.48,122.08,120.07,121.58,121.58,5194000
2021-12-08,122.0,123.38,121.52,123.02,123.02,5483900
2021-12-09,122.15,123.95,121.79,123.57,123.57,4601100
2021-12-10,124.3,125.33,123.36,124.09,124.09,4965300
2021-12-13,123.76,124.36,120.79,122.58,122.58,6847500
2021-12-14,122.35,125.03,122.3,123.76,123.76,5716100
2021-12-15,123.8,124.82,122.18,123.11,123.11,4990000
2021-12-16,123.51,126.64,123.48,125.93,125.93,7280500
2021-12-17,125.87,128.64,125.21,127.4,127.4,10379000
2021-12-20,125.72,127.2,124.7,127.06,127.06,4941400
2021-12-21,127.66,129.34,127.66,128.97,128.97,4856000
2021-12-22,129.06,129.65,127.6,129.41,129.41,2854484
