Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,137.49,138.32,136.03,136.52,136.52,3529100
2021-11-05,137.19,137.99,135.64,136.08,136.08,2482700
2021-11-08,136.43,136.77,135.14,135.75,135.75,2434300
2021-11-09,135.54,135.97,134.92,135.48,135.48,2365800
2021-11-10,135.08,135.55,133.78,134.21,134.21,2056200
2021-11-11,134.0,134.66,133.54,134.0,134.0,1498700
2021-11-12,134.6,135.4,134.07,135.29,135.29,3116100
2021-11-15,135.67,136.15,134.83,135.29,135.29,1367200
2021-11-16,135.48,136.8,135.36,136.07,136.07,1744000
2021-11-17,135.73,136.51,134.78,136.27,136.27,1979400
2021-11-18,136.78,136.86,135.34,135.37,135.37,1686300
2021-11-19,135.27,135.32,133.24,133.3,133.3,2477200
2021-11-22,133.66,134.78,132.78,132.98,132.98,1888400
2021-11-23,132.45,132.89,130.91,132.05,132.05,2324900
2021-11-24,132.11,132.59,131.32,132.27,132.27,2007700
2021-11-26,131.16,132.21,129.24,129.68,129.68,1539100
2021-11-29,130.72,132.61,130.51,131.9,131.9,2275100
2021-11-30,130.82,132.57,130.28,130.72,130.72,4043600
2021-12-01,132.1,132.96,128.96,129.02,129.02,2845400
2021-12-02,129.46,132.54,129.08,131.22,131.22,2648800
2021-12-03,131.75,132.04,128.54,130.19,130.19,2604600
