Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,66.23,67.83,66.03,67.49,67.49,2279000
2021-11-05,67.29,69.06,66.47,67.86,67.86,2403600
2021-11-08,68.28,68.95,66.14,66.49,66.49,2221300
2021-11-09,66.9,67.45,66.21,66.53,66.53,1581100
2021-11-10,67.04,67.92,65.21,65.39,65.39,1647600
2021-11-11,65.6,65.82,64.34,65.11,65.11,1522600
2021-11-12,65.11,65.65,64.72,65.61,65.61,1442300
2021-11-15,65.93,65.93,64.51,65.19,65.19,1357600
2021-11-16,65.38,66.2,64.96,65.72,65.72,1505000
2021-11-17,65.85,65.88,64.38,65.02,65.02,1146200
2021-11-18,65.06,65.2,64.14,65.13,65.13,1429400
2021-11-19,65.18,65.65,64.24,64.51,64.51,1583400
2021-11-22,64.58,64.72,63.28,63.34,63.34,1364100
2021-11-23,63.0,63.9,62.31,63.81,63.81,1313500
2021-11-24,64.3,67.08,64.06,66.74,66.74,5078700
2021-11-26,68.77,70.58,67.89,68.38,68.38,3169400
2021-11-29,68.77,71.85,68.77,70.37,70.37,3517800
2021-11-30,69.96,70.92,66.8,67.72,67.72,5622100
2021-12-01,68.0,69.62,64.69,64.96,64.96,3740500
2021-12-02,64.91,66.78,63.4,66.63,66.63,2368900
2021-12-03,66.79,66.79,65.21,65.78,65.78,2573600
