Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,47.43,47.97,47.16,47.46,47.46,1445600
2022-04-19,47.76,48.66,47.5,48.65,48.65,1753900
2022-04-20,48.86,49.65,48.77,49.41,49.41,2432800
2022-04-21,49.69,50.23,49.49,49.69,49.69,2532300
2022-04-22,49.33,49.39,47.69,47.72,47.72,2328100
2022-04-25,47.24,47.68,46.29,47.49,47.49,2418800
2022-04-26,47.33,47.88,47.02,47.02,47.02,3189300
2022-04-27,47.31,47.96,47.04,47.36,47.36,2723500
2022-04-28,48.31,49.2,45.46,47.48,47.48,5250000
2022-04-29,47.76,48.13,46.12,46.28,46.28,4671700
2022-05-02,46.56,46.86,45.71,46.55,46.55,2771400
2022-05-03,46.55,47.43,46.49,46.82,46.82,2836700
2022-05-04,46.95,48.5,46.8,48.49,48.49,2791700
2022-05-05,48.02,48.48,47.43,48.11,48.11,2924800
2022-05-06,48.01,48.3,47.33,48.16,48.16,2517000
2022-05-09,47.75,48.8,47.65,47.81,47.81,4134800
2022-05-10,48.26,48.63,46.98,47.85,47.85,3329700
2022-05-11,47.82,49.17,47.51,47.67,47.67,3137900
2022-05-12,47.8,47.93,46.69,47.58,47.58,3008000
2022-05-13,47.75,48.48,47.46,47.79,47.79,2579000
2022-05-16,47.92,48.24,47.16,47.89,47.89,3478104
