Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,24.97,25.71,24.94,25.56,25.56,3401300
2021-09-28,25.33,25.7,24.9,24.92,24.92,4611800
2021-09-29,25.05,25.17,24.45,24.6,24.6,2539500
2021-09-30,24.64,24.78,24.07,24.11,24.11,4058500
2021-10-01,24.21,24.81,23.95,24.59,24.59,2916300
2021-10-04,24.24,24.7,24.0,24.1,24.1,4199400
2021-10-05,24.29,25.66,24.12,25.37,25.37,5939500
2021-10-06,24.89,25.37,24.59,25.33,25.33,5182900
2021-10-07,25.82,25.86,25.3,25.37,25.37,5229600
2021-10-08,25.24,25.61,24.95,25.03,25.03,2398600
2021-10-11,25.02,25.41,24.7,24.8,24.8,2781500
2021-10-12,24.65,24.72,24.12,24.23,24.23,2657800
2021-10-13,24.18,24.58,23.91,24.46,24.46,3508900
2021-10-14,24.9,25.3,24.53,25.17,25.17,2535300
2021-10-15,25.5,25.66,25.07,25.08,25.08,3479200
2021-10-18,24.91,24.99,24.52,24.73,24.73,3872800
2021-10-19,24.88,25.06,24.42,25.0,25.0,3115600
2021-10-20,25.0,25.47,24.91,25.42,25.42,2221700
2021-10-21,25.34,25.48,24.87,25.0,25.0,2684800
2021-10-22,25.27,25.4,24.87,25.12,25.12,3464400
2021-10-25,25.11,25.18,24.52,24.75,24.75,7594400
2021-10-26,24.94,25.96,24.7,25.76,25.76,3557071
