Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,65.59,65.61,63.5,63.83,63.49,3499500.0
2022-02-24,62.53,64.02,61.79,63.81,63.47,5678000.0
2022-02-25,63.99,65.62,63.67,65.43,65.08,4969300.0
2022-02-28,64.56,65.49,64.17,64.96,64.61,6055100.0
2022-03-01,64.96,65.14,62.14,62.58,62.24,5001100.0
2022-03-02,63.35,64.88,62.96,64.53,64.18,4179700.0
2022-03-03,64.96,65.2,63.61,64.64,64.29,4200900.0
2022-03-04,63.63,63.94,62.25,62.92,62.58,5740000.0
2022-03-07,63.24,63.24,60.25,60.31,59.98,4825900.0
2022-03-08,60.54,61.82,59.82,60.17,59.85,4011900.0
2022-03-09,61.81,63.55,61.69,62.81,62.47,3317600.0
2022-03-10,61.65,62.35,61.05,61.46,61.13,3137500.0
2022-03-11,62.15,62.7,60.43,60.48,60.15,4916500.0
2022-03-14,61.03,61.6,60.11,60.57,60.24,4693000.0
2022-03-15,60.99,61.63,60.35,61.49,61.16,5501900.0
2022-03-16,62.37,64.71,62.32,64.62,64.27,5607000.0
2022-03-17,64.11,65.02,63.42,64.87,64.52,4449100.0
2022-03-18,64.49,65.66,63.81,65.61,65.61,5929100.0
2022-03-21,65.32,66.73,65.15,65.89,65.89,4040700.0
2022-03-22,65.91,66.42,65.35,65.64,65.64,5329986.0
