Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,161.03,162.64,159.65,159.7,159.7,7634500
2021-11-23,159.52,161.0,158.78,160.69,160.69,7734000
2021-11-24,160.14,160.62,159.38,160.24,160.24,5230900
2021-11-26,160.6,161.16,158.66,159.2,159.2,8523100
2021-11-29,159.5,160.42,158.42,159.75,159.75,9188500
2021-11-30,158.51,159.0,155.85,155.93,155.93,14981700
2021-12-01,156.88,160.08,156.25,158.08,158.08,9835800
2021-12-02,157.26,159.29,156.75,157.09,157.09,11334700
2021-12-03,157.91,159.67,157.59,159.38,159.38,8750200
2021-12-06,160.19,163.52,159.83,162.94,162.94,9692000
2021-12-07,164.0,164.27,162.41,163.36,163.36,8311300
2021-12-08,163.47,164.57,162.64,164.34,164.34,6216400
2021-12-09,164.18,165.98,163.49,165.9,165.9,8574200
2021-12-10,165.57,166.69,164.65,165.49,165.49,6571900
2021-12-13,164.75,169.2,163.8,168.45,168.45,11142300
2021-12-14,168.33,170.97,167.16,170.29,170.29,10482400
2021-12-15,169.85,171.3,169.42,171.14,171.14,8552200
2021-12-16,171.26,173.51,170.84,173.01,173.01,8998600
2021-12-17,169.64,170.78,167.66,168.23,168.23,16726200
2021-12-20,167.81,168.51,166.55,167.75,167.75,7954500
2021-12-21,168.06,168.1,165.98,167.21,167.21,7954200
2021-12-22,167.06,167.96,166.12,167.66,167.66,2867219
