Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,34.07,34.29,33.14,33.19,32.99,3456200.0
2022-02-24,32.45,33.74,32.26,33.67,33.46,5463100.0
2022-02-25,33.66,34.36,33.5,34.32,34.11,3339000.0
2022-02-28,33.57,33.85,33.29,33.79,33.79,3488100.0
2022-03-01,33.59,33.77,32.84,33.08,33.08,3236100.0
2022-03-02,33.21,34.32,33.09,34.21,34.21,2848800.0
2022-03-03,34.48,34.58,34.09,34.33,34.33,2887200.0
2022-03-04,33.86,34.18,33.7,34.15,34.15,2730800.0
2022-03-07,34.06,34.18,33.03,33.04,33.04,3239400.0
2022-03-08,33.26,33.61,32.55,32.88,32.88,4374600.0
2022-03-09,33.61,33.94,33.32,33.69,33.69,2463000.0
2022-03-10,33.5,33.9,33.14,33.25,33.25,3792500.0
2022-03-11,33.56,34.24,33.11,33.14,33.14,2399700.0
2022-03-14,33.4,33.74,32.95,33.29,33.29,4396000.0
2022-03-15,33.56,34.43,33.45,34.38,34.38,4647900.0
2022-03-16,34.31,34.4,33.41,34.17,34.17,5439500.0
2022-03-17,34.09,34.84,33.99,34.65,34.65,5430500.0
2022-03-18,34.66,35.37,34.43,35.31,35.31,12074900.0
2022-03-21,35.44,35.7,34.96,35.31,35.31,4841300.0
2022-03-22,35.32,35.81,35.13,35.68,35.68,3482977.0
