Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,133.0,134.9,132.57,133.0,133.0,10466400
2022-04-12,132.14,134.58,130.7,131.54,131.54,12989900
2022-04-13,126.94,129.25,126.01,127.3,127.3,30838000
2022-04-14,126.5,128.3,125.02,126.12,126.12,18835200
2022-04-18,125.67,129.24,125.54,128.46,128.46,11834400
2022-04-19,128.45,131.32,128.23,131.12,131.12,15015400
2022-04-20,132.52,133.51,131.34,131.58,131.58,13430200
2022-04-21,132.22,132.81,129.96,130.56,130.56,12174200
2022-04-22,130.28,130.52,126.69,126.81,126.81,14318800
2022-04-25,126.01,127.12,123.11,126.77,126.77,17149000
2022-04-26,124.64,126.41,122.87,123.02,123.02,17209500
2022-04-27,122.33,123.56,121.22,121.42,121.42,17215200
2022-04-28,122.81,123.65,121.14,123.34,123.34,13015600
2022-04-29,123.05,123.61,118.9,119.36,119.36,14867200
2022-05-02,119.88,120.71,118.22,120.45,120.45,18545000
2022-05-03,121.53,124.17,120.78,123.03,123.03,15720900
2022-05-04,122.8,127.4,122.74,127.1,127.1,17128500
2022-05-05,125.25,126.1,122.16,123.92,123.92,15055400
2022-05-06,123.8,124.29,121.18,123.72,123.72,14415200
2022-05-09,122.11,122.9,120.5,122.39,122.39,6434168
