Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,20.46,20.8,20.42,20.77,20.77,9049300
2022-04-19,20.88,21.51,20.8,21.43,21.43,12486100
2022-04-20,21.71,22.17,21.57,21.75,21.75,13951100
2022-04-21,21.2,22.13,20.91,21.08,21.08,16539300
2022-04-22,21.11,21.19,20.69,20.71,20.71,13425700
2022-04-25,20.55,20.7,20.02,20.63,20.63,15848300
2022-04-26,20.19,20.58,19.9,19.91,19.91,11212500
2022-04-27,19.95,20.13,19.76,19.86,19.86,11467400
2022-04-28,20.07,20.18,19.76,20.03,20.03,8962800
2022-04-29,19.97,20.17,19.26,19.31,19.31,10362700
2022-05-02,19.39,19.55,19.02,19.47,19.47,10348400
2022-05-03,19.66,19.87,19.46,19.71,19.71,8193300
2022-05-04,19.67,20.34,19.58,20.28,20.28,10343100
2022-05-05,19.99,20.1,19.4,19.78,19.78,9991500
2022-05-06,19.77,19.79,19.19,19.54,19.54,8197000
2022-05-09,19.28,19.43,18.9,19.18,19.18,9018300
2022-05-10,19.48,19.5,18.61,18.92,18.92,12488300
2022-05-11,18.93,19.37,18.54,18.58,18.58,9088400
2022-05-12,18.54,18.77,18.15,18.53,18.53,12601100
2022-05-13,18.7,18.89,18.49,18.62,18.62,8639700
2022-05-16,18.65,18.74,18.34,18.53,18.53,7518973
